PLOTID,IDENT,elev,perSlope,aspect,Northness,Sdclass,Rockiness,VallyBotFlat,topowet,PPTann,pptColdQtr,pptWarmQtr,cvTemp,TempColdMin,TempColdMean,TempWarmMean,cvRad,annMeanRad,miAnnMean,miColdQtr,miWarmQtr,T0,T1,T2,GeolID,GeolClass,SOIL,K,Thor,Uran,THtoK,TotalC,ALA,ARE,ARO,BAX,CAM,GON,LEU,MEL,OBL,OVA,PAU,RAD,RUB,SAB,SER,VER,VIC,VIMcyg,VIMvim,WIL
29,CGS8,374.542297,17.99695625,102.319702,-0.213366345,15,10,0.00,10.15,747,241,119,136,30,72,171,45,154,70.00,30.00,24.00,2606.12,1903.86,888.40,2688,Ssr, ,0.55,0.02,3.60,0.01,646.53,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
30,MTA1,535.841857,64.03196,74.53469,0.266654893,10,40,0.00,8.43,919,305,141,136,23,60,158,46,150,76.06,22.94,35.11,4441.80,2366.13,1108.57,2688,Ssr, ,0.08,0.71,4.13,0.05,675.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,MTA2,544.96997,68.913635,73.880714,0.27763804,10,80,0.00,8.43,913,302,140,136,23,60,159,46,150,76.03,22.97,35.03,4500.27,2397.41,1123.13,2688,Ssr, ,0.20,1.14,3.21,0.23,656.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,MTA3,527.696472,63.967015,68.656532,0.363957962,5,80,0.00,8.18,908,301,139,136,23,60,159,46,150,76.00,23.00,34.11,4996.32,2659.23,1234.12,2688,Ssr, ,0.09,0.57,4.38,0.05,677.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,MTA4,527.696472,63.967015,68.656532,0.363957962,10,80,0.00,8.18,908,301,139,136,23,60,159,46,150,76.00,23.00,34.11,4996.32,2659.23,1234.12,2688,Ssr, ,0.09,0.57,4.38,0.05,677.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,GWOND1,589.753479,68.884145,42.168235,0.741176887,10,90,0.00,8.18,917,322,134,151,18,57,166,46,153,74.32,17.68,30.64,2394.71,1304.50,971.51,2688,Ssr, ,0.18,3.03,1.72,0.54,491.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,GWOND2,657.910339,166.83894,47.348552,0.677536666,10,95,0.00,5.21,956,334,140,151,16,53,162,46,152,76.00,15.48,33.52,2859.09,1515.29,1195.37,2688,Ssr, ,0.25,3.75,1.48,0.95,479.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,GWOND3,699.922485,24.870135,283.996337,0.241859863,20,30,0.00,7.00,956,334,140,151,16,53,162,46,152,75.93,16.00,33.21,542.64,761.53,4401.65,2688,Ssr, ,0.25,3.75,1.48,0.95,479.38,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,GWOND4,685.308532,25.9290375,77.611488,0.214539497,20,20,0.00,7.51,951,332,139,151,16,54,163,46,152,75.00,16.00,33.00,701.32,883.31,4615.28,2688,Ssr, ,0.01,4.82,2.23,0.03,541.41,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,GMTW1,1092.509643,19.84302625,8.65255,0.988618816,10,80,0.00,6.76,1288,446,187,148,4,31,138,47,144,85.53,4.00,58.53,3315.06,2488.58,1123.32,2688,Ssr, ,0.49,3.66,2.78,1.79,575.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,GMTW2,1089.72937,25.166265,143.139862,-0.800102191,10,85,0.00,7.09,1296,449,188,148,3,31,137,47,144,86.00,3.00,59.00,1221.63,2966.46,6197.09,2688,Ssr, ,0.59,3.94,2.37,2.31,568.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,GMTW3,1054.931152,193.36196,70.526107,0.333377307,10,90,0.00,6.51,1335,463,193,148,2,28,135,47,143,86.97,2.00,61.00,2183.00,1287.56,801.55,2688,Ssr, ,0.83,2.79,2.58,2.33,537.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,GMTW4,975.125793,138.68387,104.509162,-0.250534815,15,80,0.00,7.50,1297,450,188,148,3,31,137,47,144,85.59,3.42,58.19,2149.21,1371.98,951.40,2688,Ssr, ,0.84,2.61,2.57,2.18,541.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,GMTW5,1068.021484,86.55778,63.785171,0.441738062,25,10,0.00,7.44,1315,457,191,149,2,29,136,47,144,86.00,2.04,60.65,210.84,188.76,132.79,2688,Ssr, ,0.52,3.27,-0.04,1.69,481.34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
43,GMTW6,1097.9635,67.864735,44.54528,0.712696308,20,30,0.00,7.37,1344,467,195,149,1,28,134,47,143,86.99,1.01,61.99,1484.10,801.93,369.17,2688,Ssr, ,0.39,2.97,0.66,1.16,404.42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,GMTW7,1097.298583,47.33064,60.949939,0.485573616,20,50,0.00,7.88,1345,467,195,149,1,28,134,47,143,87.00,1.00,62.00,1954.84,1137.68,1406.59,2688,Ssr, ,0.39,2.12,1.09,0.82,364.11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
